                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5618,                 0.7027,                 0.9762,                 7.0849,              0.0032527,              0.0032527,              0.0032527
                      2,                 1.2653,                  0.816,                 0.9902,                 6.5533,              0.0063849,              0.0063849,              0.0063849
                      3,                0.92198,                 0.8049,                  0.987,                 6.5815,               0.009388,               0.009388,               0.009388
                      4,                0.87135,                 0.8169,                 0.9896,                 6.5263,              0.0094064,              0.0094064,              0.0094064
                      5,                0.57114,                 0.8314,                 0.9909,                 6.4786,              0.0094064,              0.0094064,              0.0094064
                      6,                0.39936,                 0.8293,                 0.9896,                 6.4556,              0.0092085,              0.0092085,              0.0092085
                      7,                0.30919,                 0.8441,                 0.9932,                 6.3952,              0.0090107,              0.0090107,              0.0090107
                      8,                0.24353,                 0.8252,                 0.9901,                 6.4481,              0.0088128,              0.0088128,              0.0088128
                      9,                0.21809,                 0.8465,                 0.9917,                 6.3593,               0.008615,               0.008615,               0.008615
                     10,                0.19111,                 0.8542,                 0.9903,                  6.314,              0.0084171,              0.0084171,              0.0084171
                     11,                 0.1595,                 0.8549,                 0.9918,                  6.309,              0.0082192,              0.0082192,              0.0082192
                     12,                0.13672,                 0.8546,                 0.9907,                 6.2946,              0.0080214,              0.0080214,              0.0080214
                     13,                0.13873,                 0.8562,                 0.9915,                 6.2967,              0.0078235,              0.0078235,              0.0078235
                     14,                0.13075,                  0.856,                 0.9897,                 6.3026,              0.0076256,              0.0076256,              0.0076256
                     15,                0.10799,                 0.8633,                 0.9921,                 6.2717,              0.0074278,              0.0074278,              0.0074278
                     16,                0.11369,                 0.8551,                 0.9923,                 6.2936,              0.0072299,              0.0072299,              0.0072299
                     17,                 0.0988,                 0.8599,                 0.9919,                 6.2788,               0.007032,               0.007032,               0.007032
                     18,                0.09295,                 0.8613,                 0.9912,                  6.269,              0.0068342,              0.0068342,              0.0068342
                     19,                0.08736,                 0.8642,                  0.991,                 6.2646,              0.0066363,              0.0066363,              0.0066363
                     20,                0.08174,                 0.8664,                  0.993,                  6.247,              0.0064384,              0.0064384,              0.0064384
                     21,                0.07034,                 0.8703,                 0.9915,                 6.2302,              0.0062406,              0.0062406,              0.0062406
                     22,                0.07034,                 0.8695,                 0.9918,                 6.2318,              0.0060427,              0.0060427,              0.0060427
                     23,                0.06508,                 0.8731,                 0.9932,                 6.2191,              0.0058449,              0.0058449,              0.0058449
                     24,                0.06592,                 0.8698,                 0.9926,                 6.2294,               0.005647,               0.005647,               0.005647
                     25,                0.05832,                 0.8719,                 0.9923,                 6.2214,              0.0054491,              0.0054491,              0.0054491
                     26,                0.05305,                 0.8738,                 0.9936,                 6.2143,              0.0052513,              0.0052513,              0.0052513
                     27,                0.05039,                  0.878,                 0.9938,                 6.2053,              0.0050534,              0.0050534,              0.0050534
                     28,                0.04842,                 0.8764,                 0.9948,                 6.2011,              0.0048555,              0.0048555,              0.0048555
                     29,                0.04212,                 0.8782,                 0.9939,                  6.198,              0.0046577,              0.0046577,              0.0046577
                     30,                0.03399,                 0.8756,                 0.9941,                 6.2005,              0.0044598,              0.0044598,              0.0044598
                     31,                0.02877,                 0.8763,                 0.9929,                 6.2009,              0.0042619,              0.0042619,              0.0042619
                     32,                0.02646,                 0.8788,                 0.9933,                 6.1928,              0.0040641,              0.0040641,              0.0040641
                     33,                0.02778,                 0.8771,                 0.9938,                 6.1896,              0.0038662,              0.0038662,              0.0038662
                     34,                0.01933,                 0.8783,                 0.9933,                 6.1866,              0.0036684,              0.0036684,              0.0036684
                     35,                0.01638,                 0.8796,                 0.9929,                 6.1852,              0.0034705,              0.0034705,              0.0034705
                     36,                0.01484,                 0.8788,                  0.993,                 6.1869,              0.0032726,              0.0032726,              0.0032726
                     37,                0.00831,                 0.8771,                  0.993,                 6.1908,              0.0030748,              0.0030748,              0.0030748
                     38,                0.00896,                 0.8772,                 0.9939,                 6.1901,              0.0028769,              0.0028769,              0.0028769
                     39,                0.00773,                 0.8776,                 0.9937,                   6.19,               0.002679,               0.002679,               0.002679
                     40,                  0.004,                  0.877,                 0.9936,                 6.1891,              0.0024812,              0.0024812,              0.0024812
                     41,                0.00378,                 0.8778,                 0.9934,                 6.1872,              0.0022833,              0.0022833,              0.0022833
                     42,                 0.0013,                  0.878,                 0.9932,                 6.1864,              0.0020854,              0.0020854,              0.0020854
                     43,                0.00081,                 0.8785,                 0.9928,                 6.1863,              0.0018876,              0.0018876,              0.0018876
                     44,                 0.0002,                 0.8781,                 0.9929,                 6.1872,              0.0016897,              0.0016897,              0.0016897
                     45,                0.00011,                 0.8772,                  0.993,                 6.1881,              0.0014918,              0.0014918,              0.0014918
                     46,                0.00012,                 0.8761,                  0.993,                  6.189,               0.001294,               0.001294,               0.001294
                     47,                  9e-05,                 0.8759,                 0.9932,                 6.1894,              0.0010961,              0.0010961,              0.0010961
                     48,                0.00031,                 0.8756,                 0.9929,                 6.1902,             0.00089826,             0.00089826,             0.00089826
                     49,                 0.0001,                 0.8755,                 0.9927,                 6.1914,             0.00070039,             0.00070039,             0.00070039
                     50,                  8e-05,                 0.8753,                 0.9926,                 6.1922,             0.00050253,             0.00050253,             0.00050253
